time_step,traffic_light_id,vehicle_id,waiting_time
227.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,90.0
228.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,28.0
228.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,91.0
228.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,91.0
229.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,29.0
229.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,92.0
229.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,92.0
230.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,30.0
230.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,93.0
230.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,93.0
231.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,31.0
231.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,94.0
231.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,94.0
232.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,32.0
232.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,95.0
232.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,95.0
233.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,33.0
233.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,96.0
233.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,96.0
234.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,34.0
234.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,97.0
234.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,97.0
235.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,35.0
235.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,98.0
235.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,98.0
236.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,36.0
236.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,99.0
236.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,99.0
237.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,37.0
237.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,100.0
237.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,100.0
238.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,38.0
238.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,101.0
238.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,101.0
239.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,39.0
239.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,102.0
239.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,102.0
240.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,40.0
240.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,103.0
240.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,103.0
241.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,41.0
241.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,104.0
241.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,104.0
242.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,42.0
242.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,105.0
242.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,105.0
243.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,43.0
243.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,106.0
243.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,106.0
244.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,44.0
244.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,107.0
244.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,107.0
245.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,45.0
245.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,108.0
245.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,108.0
246.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,46.0
246.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,109.0
246.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,109.0
247.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,110.0
247.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,110.0
248.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,111.0
248.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,111.0
249.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,112.0
249.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,112.0
250.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,113.0
250.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,113.0
251.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,114.0
251.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,114.0
252.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,115.0
252.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,115.0
253.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,116.0
253.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,116.0
254.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,117.0
254.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,117.0
255.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,118.0
255.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,118.0
256.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,119.0
256.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,119.0
257.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,120.0
257.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,120.0
258.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,121.0
258.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,121.0
259.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,122.0
259.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,122.0
260.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,123.0
260.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,123.0
261.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,124.0
261.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,124.0
262.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,125.0
262.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,125.0
263.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,126.0
263.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,126.0
264.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,127.0
264.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,127.0
265.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,128.0
265.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,128.0
266.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,1.0
266.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,1.0
266.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,129.0
266.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,129.0
267.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,2.0
267.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,2.0
267.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,130.0
267.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,130.0
268.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,3.0
268.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,3.0
268.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,131.0
268.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,131.0
269.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,4.0
269.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,4.0
269.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,132.0
269.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,132.0
270.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,5.0
270.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,5.0
270.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,133.0
270.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,133.0
271.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,6.0
271.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,6.0
271.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,134.0
271.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,134.0
272.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,7.0
272.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,7.0
272.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,135.0
272.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,135.0
273.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,8.0
273.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,8.0
273.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,136.0
273.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,136.0
274.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,9.0
274.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,9.0
274.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,137.0
274.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,137.0
275.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,10.0
275.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,10.0
275.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,138.0
275.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,138.0
276.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,11.0
276.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,11.0
276.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,139.0
276.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,139.0
277.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,12.0
277.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,12.0
277.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,140.0
277.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,140.0
278.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,13.0
278.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,13.0
278.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,141.0
278.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,141.0
279.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,14.0
279.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,14.0
279.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,142.0
279.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,142.0
280.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,15.0
280.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,15.0
280.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,143.0
280.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,143.0
281.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,16.0
281.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,16.0
281.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,144.0
281.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,144.0
282.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,17.0
282.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,17.0
282.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,145.0
282.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,145.0
283.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,18.0
283.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,18.0
283.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,146.0
283.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,146.0
284.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,19.0
284.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,19.0
284.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,147.0
284.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,147.0
285.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,20.0
285.0,cluster_109103212_1484917779_1986175689_1986175701_#8more,veh0,20.0
285.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,148.0
285.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,148.0
286.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,149.0
286.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,149.0
287.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,150.0
287.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,150.0
288.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,151.0
288.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,151.0
289.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,152.0
289.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,152.0
290.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,153.0
290.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,153.0
291.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,154.0
291.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,154.0
292.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,155.0
292.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,155.0
293.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,156.0
293.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,156.0
294.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,157.0
294.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,157.0
295.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,158.0
295.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,158.0
296.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,159.0
296.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,159.0
297.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,160.0
297.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,160.0
298.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,161.0
298.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,161.0
299.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,162.0
299.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,162.0
300.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,163.0
300.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,163.0
301.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,164.0
301.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,164.0
